,round,player_name,team_name,opponent_team_name,was_home,total_points
15,16,Felix Beijmo,Malmö FF,Degerfors IF,True,10
0,1,Noah Eile,Malmö FF,Hammarby,True,0
1,2,Noah Eile,Malmö FF,BK Häcken,False,0
2,3,Noah Eile,Malmö FF,Östersunds FK,True,0
3,4,Noah Eile,Malmö FF,Djurgården,False,0
4,5,Noah Eile,Malmö FF,Varbergs BoIS,True,0
5,6,Noah Eile,Malmö FF,AIK,False,0
6,7,Noah Eile,Malmö FF,Kalmar FF,True,0
7,7,Noah Eile,Malmö FF,IF Elfsborg,True,0
8,8,Noah Eile,Malmö FF,Örebro SK,False,0
9,9,Noah Eile,Malmö FF,IFK Norrköping,False,0
10,10,Noah Eile,Malmö FF,IK Sirius,True,0
11,11,Noah Eile,Malmö FF,Degerfors IF,False,0
12,12,Noah Eile,Malmö FF,Mjällby AIF,False,0
13,14,Noah Eile,Malmö FF,Halmstads BK,False,0
14,15,Noah Eile,Malmö FF,IFK Göteborg,True,0
15,16,Noah Eile,Malmö FF,Degerfors IF,True,1
0,1,Arnór Ingvi Traustason,Malmö FF,Hammarby,True,0
1,2,Arnór Ingvi Traustason,Malmö FF,BK Häcken,False,0
2,3,Arnór Ingvi Traustason,Malmö FF,Östersunds FK,True,0
3,4,Arnór Ingvi Traustason,Malmö FF,Djurgården,False,0
4,5,Arnór Ingvi Traustason,Malmö FF,Varbergs BoIS,True,0
5,6,Arnór Ingvi Traustason,Malmö FF,AIK,False,0
6,7,Arnór Ingvi Traustason,Malmö FF,Kalmar FF,True,0
7,7,Arnór Ingvi Traustason,Malmö FF,IF Elfsborg,True,0
8,8,Arnór Ingvi Traustason,Malmö FF,Örebro SK,False,0
9,9,Arnór Ingvi Traustason,Malmö FF,IFK Norrköping,False,0
10,10,Arnór Ingvi Traustason,Malmö FF,IK Sirius,True,0
11,11,Arnór Ingvi Traustason,Malmö FF,Degerfors IF,False,0
12,12,Arnór Ingvi Traustason,Malmö FF,Mjällby AIF,False,0
13,14,Arnór Ingvi Traustason,Malmö FF,Halmstads BK,False,0
14,15,Arnór Ingvi Traustason,Malmö FF,IFK Göteborg,True,0
15,16,Arnór Ingvi Traustason,Malmö FF,Degerfors IF,True,0
0,1,Bonke Innocent,Malmö FF,Hammarby,True,2
1,2,Bonke Innocent,Malmö FF,BK Häcken,False,1
2,3,Bonke Innocent,Malmö FF,Östersunds FK,True,3
3,4,Bonke Innocent,Malmö FF,Djurgården,False,0
4,5,Bonke Innocent,Malmö FF,Varbergs BoIS,True,0
5,6,Bonke Innocent,Malmö FF,AIK,False,0
6,7,Bonke Innocent,Malmö FF,Kalmar FF,True,0
7,7,Bonke Innocent,Malmö FF,IF Elfsborg,True,0
8,8,Bonke Innocent,Malmö FF,Örebro SK,False,0
9,9,Bonke Innocent,Malmö FF,IFK Norrköping,False,0
10,10,Bonke Innocent,Malmö FF,IK Sirius,True,4
11,11,Bonke Innocent,Malmö FF,Degerfors IF,False,2
12,12,Bonke Innocent,Malmö FF,Mjällby AIF,False,0
13,14,Bonke Innocent,Malmö FF,Halmstads BK,False,2
14,15,Bonke Innocent,Malmö FF,IFK Göteborg,True,3
15,16,Bonke Innocent,Malmö FF,Degerfors IF,True,3
0,1,Jo Inge Berget,Malmö FF,Hammarby,True,3
1,2,Jo Inge Berget,Malmö FF,BK Häcken,False,2
2,3,Jo Inge Berget,Malmö FF,Östersunds FK,True,1
3,4,Jo Inge Berget,Malmö FF,Djurgården,False,2
4,5,Jo Inge Berget,Malmö FF,Varbergs BoIS,True,0
5,6,Jo Inge Berget,Malmö FF,AIK,False,7
6,7,Jo Inge Berget,Malmö FF,Kalmar FF,True,8
7,7,Jo Inge Berget,Malmö FF,IF Elfsborg,True,9
8,8,Jo Inge Berget,Malmö FF,Örebro SK,False,3
9,9,Jo Inge Berget,Malmö FF,IFK Norrköping,False,3
10,10,Jo Inge Berget,Malmö FF,IK Sirius,True,11
11,11,Jo Inge Berget,Malmö FF,Degerfors IF,False,0
12,12,Jo Inge Berget,Malmö FF,Mjällby AIF,False,4
13,14,Jo Inge Berget,Malmö FF,Halmstads BK,False,1
14,15,Jo Inge Berget,Malmö FF,IFK Göteborg,True,2
15,16,Jo Inge Berget,Malmö FF,Degerfors IF,True,1
0,1,Anders Christiansen,Malmö FF,Hammarby,True,8
1,2,Anders Christiansen,Malmö FF,BK Häcken,False,7
2,3,Anders Christiansen,Malmö FF,Östersunds FK,True,8
3,4,Anders Christiansen,Malmö FF,Djurgården,False,3
4,5,Anders Christiansen,Malmö FF,Varbergs BoIS,True,3
5,6,Anders Christiansen,Malmö FF,AIK,False,6
6,7,Anders Christiansen,Malmö FF,Kalmar FF,True,8
7,7,Anders Christiansen,Malmö FF,IF Elfsborg,True,1
8,8,Anders Christiansen,Malmö FF,Örebro SK,False,0
9,9,Anders Christiansen,Malmö FF,IFK Norrköping,False,0
10,10,Anders Christiansen,Malmö FF,IK Sirius,True,6
11,11,Anders Christiansen,Malmö FF,Degerfors IF,False,13
12,12,Anders Christiansen,Malmö FF,Mjällby AIF,False,0
13,14,Anders Christiansen,Malmö FF,Halmstads BK,False,2
14,15,Anders Christiansen,Malmö FF,IFK Göteborg,True,3
15,16,Anders Christiansen,Malmö FF,Degerfors IF,True,9
0,1,Sören Rieks,Malmö FF,Hammarby,True,8
1,2,Sören Rieks,Malmö FF,BK Häcken,False,7
2,3,Sören Rieks,Malmö FF,Östersunds FK,True,3
3,4,Sören Rieks,Malmö FF,Djurgården,False,2
4,5,Sören Rieks,Malmö FF,Varbergs BoIS,True,6
5,6,Sören Rieks,Malmö FF,AIK,False,0
6,7,Sören Rieks,Malmö FF,Kalmar FF,True,0
7,7,Sören Rieks,Malmö FF,IF Elfsborg,True,0
8,8,Sören Rieks,Malmö FF,Örebro SK,False,0
